City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Hami,CN,65.98,clear sky,42.8,93.45,Laoyutang Resort
116,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
118,Brighton,GB,61.41,scattered clouds,50.8284,-0.1395,"Holiday Inn Brighton - Seafront, an IHG Hotel"
119,Durban,ZA,77.92,scattered clouds,-29.8579,31.0292,Hilton Durban
122,Bridlington,GB,53.89,overcast clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
123,Rawson,AR,72.63,few clouds,-43.3002,-65.1023,Hosteria Sampedro
124,Gushikawa,JP,67.23,overcast clouds,26.3544,127.8686,Kirari Guest House
125,Kavieng,PG,79.16,moderate rain,-2.5744,150.7967,Nusa Island Retreat
130,Namibe,AO,74.28,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
133,Kaitangata,NZ,56.7,light rain,-46.2817,169.8464,Kaitangata Motor Camp
135,Shitanjing,CN,52.59,clear sky,39.2342,106.3439,Yingbin Hotel
136,Klyuchi,RU,57.79,broken clouds,52.2667,79.1667,Vesolaya Mayovka
137,Coahuayana,MX,76.98,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
139,Itoman,JP,68.02,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
140,Kirakira,SB,79.68,light rain,-10.4544,161.9205,SanBiz Lodge
141,Bengkulu,ID,77.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
142,Clifton,US,53.74,overcast clouds,40.8584,-74.1638,Quality Urban Housing
143,Port Lincoln,AU,60.87,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
144,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
147,Pierre,US,49.28,broken clouds,44.3683,-100.351,Ramkota Hotel
148,Lebu,CL,59.29,broken clouds,-37.6167,-73.65,Hostal Las Lilas
149,Tay Ninh,VN,82.24,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
152,Bantry,IE,53.78,overcast clouds,51.6833,-9.45,The Maritime Hotel
153,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
154,Laguna,US,54.97,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
155,Te Anau,NZ,56.25,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
156,Hithadhoo,MV,83.34,clear sky,-0.6,73.0833,Scoop Guest House
157,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
158,Ahipara,NZ,65.41,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
160,Portree,GB,48.52,light rain,57.4129,-6.1942,The Royal Hotel
161,Canutama,BR,76.69,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
162,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
164,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
166,Kathu,TH,76.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
169,Mount Isa,AU,60.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
170,Itaituba,BR,86.16,scattered clouds,-4.2761,-55.9836,Hotel Campos
171,Mahajanga,MG,87.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
172,Batemans Bay,AU,65.1,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
175,Castro,BR,77.56,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
177,Eyl,SO,81.12,scattered clouds,7.9803,49.8164,Amiin Hotel
178,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
