City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Carnarvon,AU,-24.8667,113.6333,75.27,78,0,14.97,clear sky
145,Usinsk,RU,65.9939,57.5281,14.18,91,100,11.68,overcast clouds
146,Tiksi,RU,71.6872,128.8694,-12.84,100,100,2.77,overcast clouds
147,Pierre,US,44.3683,-100.351,49.28,71,75,27.0,broken clouds
148,Lebu,CL,-37.6167,-73.65,59.29,75,82,12.88,broken clouds
149,Tay Ninh,VN,11.3,106.1,82.24,68,100,3.6,overcast clouds
150,Clyde River,CA,70.4692,-68.5914,5.23,78,20,5.75,few clouds
151,Fairbanks,US,64.8378,-147.7164,11.25,78,100,0.0,light snow
152,Bantry,IE,51.6833,-9.45,53.78,83,100,19.39,overcast clouds
153,Kahului,US,20.8947,-156.47,74.84,76,0,9.22,clear sky
154,Laguna,US,38.421,-121.4238,54.97,88,0,5.75,clear sky
155,Te Anau,NZ,-45.4167,167.7167,56.25,91,100,4.97,overcast clouds
156,Hithadhoo,MV,-0.6,73.0833,83.34,66,7,4.54,clear sky
157,Kununurra,AU,-15.7667,128.7333,76.98,78,0,0.0,clear sky
158,Ahipara,NZ,-35.1667,173.1667,65.41,94,76,6.13,broken clouds
159,Sembakung,ID,3.8167,117.25,74.23,99,95,0.51,overcast clouds
160,Portree,GB,57.4129,-6.1942,48.52,96,100,6.46,light rain
161,Canutama,BR,-6.5339,-64.3831,76.69,96,100,2.68,overcast clouds
162,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,67,75,21.85,broken clouds
163,Athabasca,CA,54.7169,-113.2854,34.21,93,100,17.74,light snow
164,Olinda,BR,-8.0089,-34.8553,85.73,66,40,11.5,scattered clouds
165,Kodinsk,RU,58.6881,99.1844,30.54,98,100,3.56,light snow
166,Kathu,TH,7.9178,98.3332,76.82,84,100,4.12,overcast clouds
167,Hofn,IS,64.2539,-15.2082,31.05,53,100,15.19,overcast clouds
